source_platform,listing_url,listing_id,broker_reference,permit_number,property_number,plot_number,building,unit,cpid,source,freshness,confidence,verified_by,bridge_status,missing_bridge_fields
,,,,,,,,K1TH207,CPID-UNIT-k1th207,Reportage_Inventory__DIVA HANDING OVER Q4 2024__fcd5c43bb3.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__6ea2d12d01.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,D40,CPID-UNIT-d40,Reportage_Inventory__Sylvana Availability__cdd11f415b.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__ccd1445561.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Reportage_Inventory__ffd5c26e-49da-4c91-b603-c0b42a2332e4__7bb0933451.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,D40,CPID-UNIT-d40,Reportage_Inventory__Sylvana Availability__4748b80daa.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,D40,CPID-UNIT-d40,Reportage_Inventory__Sylvana Availability__cfc92026de.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,1310,CPID-UNIT-1310,HSHObject1__45fcbb03-9f46-4197-8505-b9f33fd29510__77f9127278.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,FURNISHEDWITHKITCHENAPPLIANCES,CPID-UNIT-furnishedwithkitchenappliances,TIGER_-_HOME_SWEET_HOME_REAL_ESTATE__Handover: Q2 2029__f378ebf74c.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,2407,CPID-UNIT-2407,HSHObject1__560cff45-bedb-4011-8704-774f0fa8b694__44fa2f752a.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,Villa/Street View,,CPID-HASH-7afbbee413e337b6,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,K1TH212,CPID-UNIT-k1th212,Reportage_Inventory__DIVA (HANDING OVER Q4 2024)__12d44572ad.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,K1TH073,CPID-UNIT-k1th073,Reportage_Inventory__DIVA (HANDING OVER Q4 2024)__d89418de99.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,KnowledgeBase_Master_Catalog.csv,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__39097fe6b2.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Reportage_Inventory__DUBAI HILLS AVAILABILITY__da8db8e57d.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__69038f24c0.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__abd925a1c4.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,4,2803,CPID-UNIT-2803,0a61877f-b2fb-451b-91ff-81bb026cd696.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,brand-assets-files.txt,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,2407,CPID-UNIT-2407,HSHObject1__ac274d9d-4683-43a4-b87f-76dc917c79d1__e2699bf54d.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Reportage_Inventory__73fd58f1-9853-4763-b3d6-5b415324a9b9__e3b118dc75.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,K1TH212,CPID-UNIT-k1th212,Reportage_Inventory__DIVA (HANDING OVER Q4 2024)__8b17644d10.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,4801,CPID-UNIT-4801,HSHObject1__2556cb9f-0ebc-435f-b39e-31d3b5caa0ab__7f6e6a6f90.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Reportage_Inventory__DUBAI HILLS AVAILABILITY__d160d26d64.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,,CPID-HASH-500fdcc0491c0a59,Reportage_Inventory__DUBAI HILLS AVAILABILITY__7f03fbbd4c.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,51L,CPID-UNIT-51l,Reportage_Inventory__3014__abd925a1c4.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,4801,CPID-UNIT-4801,HSHObject1__796fbdde-e69f-4e78-86a9-2fd67eb95fe9__e498504c3f.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,UNIT,CPID-UNIT-unit,Reportage_Inventory__Reportage Oceana__a076884ead.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,D40,CPID-UNIT-d40,Reportage_Inventory__Sylvana Availability__7d1436514b.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,Partial Community View,,CPID-HASH-ea603b3c5c2bb0f8,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
