path,scope,category,size_bytes,pages_extracted,extraction_status,hits,error,text_preview
AIOS/KnowledgeBase/raw_data/pdf/05d258eaabfe__99173a43-e25e-45f8-9165-c66e66d2ec45.pdf,property_intelligence,general_aios,6562431,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/5bbf337e57b0__6a30e93e-fe58-4ded-89b2-7352473d6a11.pdf,property_intelligence,general_aios,16198948,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/552b00d88a13__ba1242d7-1909-4b41-8ac3-fe9b6bacd346.pdf,property_intelligence,general_aios,245674,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/151239096cc7__adc4479e-27f4-4463-9403-e4600d3a71d3.pdf,property_intelligence,general_aios,594009,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/23c6317ebb19__6eb68905-f856-4fe4-b69d-d9854d94d219.pdf,property_intelligence,general_aios,1687497,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/52e0a1b81f2f__60cd8731-6d30-4311-944f-88c5b5343699.pdf,property_intelligence,general_aios,7248153,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/c6a62183f963__777bbf75-de9f-4e56-882b-2ecc8bc9d66b.pdf,property_intelligence,general_aios,5143700,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/0b7ca5728c39__bb4bc67f-1df8-471e-b353-a18bc68875d6.pdf,property_intelligence,general_aios,778049,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/7d435ac3a422__317af136-23ce-404d-ad89-cdb78e6ccbfe.pdf,property_intelligence,general_aios,3395233,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/3cb29aed9d71__018a4ca4-88db-48f2-8439-32ac60600c53.pdf,property_intelligence,general_aios,9115984,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/067d3956d5be__001cd6a7-e1f2-4492-b19e-b75e5011605f.pdf,property_intelligence,general_aios,1951628,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/f7a1efcf9610__02bc5521-b50a-484f-b8eb-a6dac5b704b8.pdf,property_intelligence,general_aios,5975560,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/773eef2c1311__daa8a88a-5040-4b7f-acf6-db7b55f0e0cb.pdf,property_intelligence,general_aios,118099,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/953d1694e966__a082919a-c9a8-4ef9-858c-bf59f8d771a3.pdf,property_intelligence,general_aios,7183140,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/e05306960bad__hsh-alyalayis1-clean-final-v2.pdf,property_intelligence,general_aios,5997531,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/df3b57f391c5__8cf069bb-86da-450d-abeb-05ab0ba672da.pdf,property_intelligence,general_aios,243266,0,SKIPPED_LOW_PRIORITY,,,
