area,building,unit,bedrooms,price,size,developer,source,source_date
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-25,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-26,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-27,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-28,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-29,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-30,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-31,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-32,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-33,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-34,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-35,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-36,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-37,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-38,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-39,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-40,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-41,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-12-42,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-13-08,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-13-09,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-13-10,3,2720000,1873,Reportage,UAE Dubai Projects Availability,2025-08-12
