test_label,rank,resolver_record_id,area,project,building,unit,bedrooms,size,price,permit_number,property_number,plot_number,land_number,source_file,source_sheet,row_number,source_platform,listing_url,score,score_breakdown,confidence,status_label,owner_contact_available,input,parsed_platform,parsed_listing_id,parsed_area,parsed_project,parsed_building,parsed_bedrooms,parsed_size,parsed_price
text_only_2,3,bfd7bc7fe8554929,MBR City,,,,,,,27459,PJ P VP 018,PJ P VP 018,,extracted_text.txt,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,MBR City bed,,,MBR City,,,,,
text_only_2,4,7f9f69f79ea5c7e8,MBR City,,sheikh,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-hadaeq-sheikh-mohammed-bin-rashid-79392661.html,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,MBR City bed,,,MBR City,,,,,
text_only_2,5,7f9f69f79ea5c7e8,MBR City,,wilton park residences,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-mohammed-bin-rashid-city-wilton-park-residences-15044753.html,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,MBR City bed,,,MBR City,,,,,
text_only_2,6,7f9f69f79ea5c7e8,MBR City,,elie saab vie townhouses,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-mohammed-bin-rashid-city-district-11-elie-saab-vie-townhouses-15592345,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,MBR City bed,,,MBR City,,,,,
text_only_2,7,7f9f69f79ea5c7e8,MBR City,,elie saab vie townhouses,,,,,,,,,WhatsApp ChatStorage.sqlite,,,propertyfinder.ae,https://www.propertyfinder.ae/en/plp/buy/townhouse-for-sale-dubai-mohammed-bin-rashid-city-district-11-elie-saab-vie-townhouses-16084435,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,MBR City bed,,,MBR City,,,,,
text_only_2,8,61cd5aed78182158,MBR City,,,,,,,27459,PJ P VP 018,PJ P VP 018,,Plot-18_PJ-P-VP-018_REV-01_FINAL_Nakheel_Submission.pdf,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,MBR City bed,,,MBR City,,,,,
text_only_2,9,3c8b555a5e948a50,MBR City,,,,,,,27459,PJ P VP 018,PJ P VP 018,,rev01_text.txt,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,MBR City bed,,,MBR City,,,,,
text_only_2,10,204a734118526f47,MBR City,,,,,,,27459,PJ P VP 018,PJ P VP 018,,Plot-18_PJ-P-VP-018_REV-01_FINAL_Nakheel_Submission.pdf,,,,,20,"[""same_area:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,MBR City bed,,,MBR City,,,,,
text_only_3,1,raw-aa5306fe622da6be,JVC,Binghatti,binghatti gardenia,,2,103.4 sqm,150000.0,,,,,raw_chat_style_dataset,,458,,,35,"[""same_area:+10"", ""same_property_type:+5"", ""same_bedrooms:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
text_only_3,2,raw-75d128d5e9f2eda0,JVC,,binghati orchid jvc district,,2,109.16 sqm,1650000.0,,,,,raw_chat_style_dataset,,455,,,35,"[""same_area:+10"", ""same_property_type:+5"", ""same_bedrooms:+10"", ""text_overlap_50:+10""]",UNRESOLVED,UNRESOLVED,NO,JVC 2 bed,,,JVC,,2,2,,
